Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
55276,-6.17,6.96,-2.92,0.15,-0.01,-0.02,sitting
55296,-6.11,7.18,-3.15,0.16,-0.00,-0.01,sitting
55316,-6.09,7.19,-3.28,0.14,-0.02,-0.02,sitting
55336,-6.16,7.19,-3.15,0.06,-0.04,-0.01,sitting
55356,-6.09,7.11,-3.02,0.06,-0.07,0.01,sitting
55376,-6.33,6.94,-2.96,0.03,-0.09,0.02,sitting
55396,-6.27,6.93,-2.82,0.04,-0.12,0.03,sitting
55416,-6.02,6.88,-2.95,0.06,-0.13,0.03,sitting
55436,-6.03,6.91,-2.88,0.01,-0.12,0.02,sitting
55456,-6.01,6.98,-2.83,-0.01,-0.12,0.03,sitting
55476,-6.02,7.17,-2.80,-0.04,-0.13,0.03,sitting
55496,-6.06,7.04,-2.76,-0.04,-0.13,0.01,sitting
55516,-6.16,6.85,-2.75,-0.01,-0.14,-0.00,sitting
55536,-6.09,6.76,-2.83,0.00,-0.12,-0.00,sitting
55556,-6.19,6.89,-2.91,0.03,-0.11,0.02,sitting
55576,-6.21,6.84,-3.16,0.08,-0.09,0.01,sitting
55596,-6.10,7.11,-3.30,0.03,-0.09,0.01,sitting
55616,-6.04,7.06,-3.09,-0.08,-0.08,0.01,sitting
55636,-6.05,6.74,-2.63,-0.16,-0.07,0.03,sitting
55656,-6.07,6.84,-2.46,-0.13,-0.01,0.03,sitting
55676,-5.94,6.93,-2.55,-0.02,0.05,0.02,sitting
55696,-6.16,6.85,-2.56,0.00,0.08,0.01,sitting
55716,-6.22,6.77,-2.79,0.02,0.05,0.01,sitting
55736,-6.18,6.76,-2.78,0.01,-0.01,0.01,sitting
55756,-6.19,6.69,-2.77,-0.01,-0.02,0.02,sitting
55776,-6.25,6.78,-2.67,-0.05,-0.02,0.04,sitting
55796,-6.08,6.88,-2.78,-0.05,-0.02,0.06,sitting
55816,-5.91,7.09,-2.72,-0.03,-0.01,0.03,sitting
55836,-5.92,7.07,-2.70,-0.04,0.01,0.03,sitting
55856,-6.06,7.13,-2.83,0.00,0.00,0.01,sitting
55876,-6.15,7.05,-2.70,0.01,-0.02,0.01,sitting
55896,-6.09,6.90,-2.72,0.02,-0.01,0.01,sitting
55916,-6.04,6.88,-2.76,0.03,0.00,-0.00,sitting
55936,-6.05,6.93,-2.87,0.03,-0.02,0.00,sitting
55956,-6.06,6.98,-2.96,0.02,-0.00,0.01,sitting
55976,-6.00,7.01,-3.13,-0.01,-0.00,-0.01,sitting
55996,-6.00,7.04,-2.96,-0.04,0.01,-0.00,sitting
56016,-6.19,6.90,-3.12,-0.06,0.01,-0.04,sitting
56036,-5.92,6.77,-2.75,-0.14,0.01,0.04,sitting
56056,-5.97,6.73,-3.11,-0.16,0.04,0.02,sitting
56076,-6.20,6.93,-2.90,-0.17,-0.01,0.02,sitting
56096,-6.13,6.98,-2.81,-0.16,-0.01,0.02,sitting
