Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
62055,-9.43,-0.53,-0.25,-0.18,0.07,-0.11,standing
62075,-9.39,-0.44,-0.26,-0.16,0.09,-0.12,standing
62095,-9.46,-0.52,-0.43,-0.18,0.12,-0.12,standing
62115,-9.48,-0.77,-0.42,-0.17,0.13,-0.15,standing
62135,-9.40,-0.84,-0.37,-0.14,0.15,-0.17,standing
62155,-9.56,-0.85,-0.58,-0.11,0.15,-0.17,standing
62175,-9.52,-0.83,-0.17,-0.09,0.14,-0.16,standing
62195,-9.52,-0.83,-0.27,-0.06,0.14,-0.17,standing
62215,-9.60,-0.74,-0.36,-0.02,0.14,-0.16,standing
62235,-9.53,-0.74,-0.54,-0.00,0.15,-0.16,standing
62255,-9.51,-0.75,-0.64,-0.00,0.16,-0.15,standing
62275,-9.60,-0.74,-0.71,-0.01,0.15,-0.14,standing
62295,-9.81,-0.70,-0.61,-0.03,0.10,-0.12,standing
62315,-9.69,-0.73,-0.43,-0.02,0.05,-0.11,standing
62335,-9.57,-0.65,-0.54,-0.05,0.03,-0.09,standing
62355,-9.46,-0.60,-0.51,-0.07,0.03,-0.07,standing
62375,-9.44,-0.64,-0.52,-0.06,0.05,-0.06,standing
62395,-9.36,-0.68,-0.59,-0.07,0.06,-0.06,standing
62415,-9.44,-0.76,-0.49,-0.06,0.08,-0.06,standing
62435,-9.52,-0.83,-0.53,-0.07,0.07,-0.06,standing
62455,-9.57,-0.91,-0.53,-0.06,0.06,-0.05,standing
62475,-9.61,-0.92,-0.51,-0.06,0.05,-0.04,standing
62495,-9.41,-0.93,-0.60,-0.05,0.06,-0.03,standing
62515,-9.50,-0.96,-0.59,-0.03,0.07,-0.03,standing
62535,-9.54,-0.98,-0.67,-0.03,0.05,-0.03,standing
62555,-9.52,-0.95,-0.66,-0.02,0.04,-0.03,standing
62575,-9.51,-0.99,-0.72,-0.03,0.03,-0.02,standing
62595,-9.53,-0.94,-0.64,-0.03,0.02,-0.02,standing
62615,-9.52,-1.03,-0.63,-0.03,0.02,-0.01,standing
62635,-9.47,-0.95,-0.58,-0.02,0.01,0.00,standing
62655,-9.40,-0.96,-0.59,-0.00,0.01,-0.00,standing
62675,-9.39,-0.92,-0.62,-0.00,0.01,-0.00,standing
62695,-9.40,-0.93,-0.60,0.01,0.03,-0.01,standing
62715,-9.42,-0.95,-0.66,-0.02,0.04,-0.01,standing
62735,-9.46,-1.00,-0.67,-0.00,0.04,-0.02,standing
62755,-9.56,-0.94,-0.79,0.00,0.04,-0.02,standing
62775,-9.56,-1.04,-0.74,-0.02,0.03,-0.02,standing
62795,-9.47,-1.07,-0.70,-0.02,0.01,-0.01,standing
62815,-9.45,-1.03,-0.69,-0.02,-0.00,0.00,standing
62835,-9.43,-1.00,-0.66,-0.02,0.00,0.01,standing
62855,-9.48,-0.99,-0.70,-0.00,0.01,0.00,standing
62875,-9.50,-0.90,-0.82,-0.00,0.01,0.01,standing
62895,-9.48,-1.01,-0.85,-0.01,0.01,0.01,standing
62915,-9.47,-0.90,-0.85,-0.02,0.00,0.01,standing
62935,-9.34,-0.96,-0.77,-0.01,-0.00,0.00,standing
62955,-9.45,-0.91,-0.67,-0.02,0.01,-0.00,standing
62975,-9.44,-0.95,-0.66,-0.02,0.01,0.00,standing
62995,-9.42,-0.96,-0.76,-0.04,0.03,0.00,standing
63015,-9.49,-0.96,-0.72,-0.02,0.03,0.00,standing
63035,-9.47,-1.03,-0.64,-0.01,0.02,0.01,standing
63055,-9.54,-0.94,-0.68,0.01,0.00,0.01,standing
63075,-9.56,-1.01,-0.66,0.01,-0.00,0.02,standing
63095,-9.50,-0.87,-0.67,-0.01,0.01,0.03,standing
63115,-9.46,-0.92,-0.75,-0.02,0.02,0.04,standing
63135,-9.52,-0.87,-0.84,-0.02,0.03,0.04,standing
63155,-9.51,-0.96,-0.78,-0.02,0.01,0.04,standing
63175,-9.61,-0.92,-0.64,-0.02,-0.01,0.05,standing
63195,-9.55,-0.90,-0.69,-0.02,-0.00,0.08,standing
63215,-9.59,-0.83,-0.70,-0.02,0.00,0.09,standing
63235,-9.59,-0.87,-0.78,0.00,0.01,0.11,standing
63255,-9.70,-0.85,-0.79,0.01,0.01,0.13,standing
63274,-9.71,-0.86,-0.87,-0.01,-0.01,0.14,standing
63294,-9.74,-0.75,-0.86,-0.03,-0.08,0.16,standing
63315,-9.53,-0.80,-0.81,-0.01,-0.10,0.18,standing
63335,-9.49,-0.68,-0.85,-0.02,-0.11,0.19,standing
63355,-9.55,-0.59,-0.91,-0.08,-0.09,0.21,standing
63375,-9.57,-0.64,-1.04,-0.08,-0.07,0.22,standing
63395,-9.49,-0.78,-0.89,-0.05,-0.07,0.21,standing
63415,-9.44,-0.68,-1.01,-0.07,-0.07,0.20,standing
63435,-9.34,-0.59,-0.80,-0.05,-0.12,0.21,standing
63455,-9.19,-0.63,-1.00,-0.09,-0.09,0.20,standing
63475,-9.28,-0.53,-0.82,-0.12,-0.07,0.16,standing
63495,-9.46,-0.66,-0.78,-0.11,-0.09,0.14,standing
63515,-9.55,-0.75,-0.76,-0.13,-0.10,0.11,standing
63535,-9.60,-0.83,-0.51,-0.05,-0.14,0.10,standing
63554,-9.62,-0.89,-0.24,0.09,-0.13,0.09,standing
63575,-9.56,-0.40,-0.76,0.04,-0.13,0.08,standing
63595,-9.39,-0.29,-1.06,0.06,-0.12,0.06,standing
63615,-9.39,-0.21,-0.93,0.01,-0.13,0.07,standing
63641,-9.56,-0.23,-0.64,-0.03,-0.12,0.08,standing
63661,-9.64,-0.25,-0.39,-0.03,-0.12,0.09,standing
63681,-9.50,-0.23,-0.62,-0.02,-0.12,0.08,standing
63701,-9.43,-0.07,-0.45,-0.06,-0.13,0.08,standing
63721,-9.30,0.08,-0.53,-0.07,-0.10,0.07,standing
63741,-9.42,0.14,-0.64,-0.13,-0.08,0.08,standing
63761,-9.43,-0.09,-0.63,-0.16,-0.05,0.08,standing
63781,-9.42,-0.28,-0.51,-0.18,-0.02,0.08,standing
63801,-9.52,-0.45,-0.52,-0.17,-0.03,0.09,standing
63821,-9.45,-0.52,-0.50,-0.14,-0.01,0.09,standing
63841,-9.48,-0.40,-0.44,-0.15,-0.03,0.09,standing
63861,-9.52,-0.27,-0.23,-0.15,-0.04,0.09,standing
63881,-9.56,-0.23,-0.29,-0.14,-0.03,0.07,standing
63901,-9.49,-0.31,-0.27,-0.14,-0.04,0.06,standing
64453,-9.59,-0.25,-0.12,-0.03,-0.03,-0.02,standing
64473,-9.44,-0.18,-0.17,-0.00,-0.03,-0.01,standing
64493,-9.42,-0.22,-0.17,-0.02,-0.02,-0.01,standing
64513,-9.50,-0.15,-0.10,-0.00,-0.00,-0.01,standing
